sample_id,sample_label,run_name,event,turn,step,A,B1,B2,C1,B2_C1,pre_prompt_tokens,post_prompt_tokens,semi_prefill_ms,summary_prefill_ms,summary_decode_ms,summary_generation_time_s,token_saving_pct
puzzle_3,P3,compressed,3,21,0,498.0,27720.0,1298.0,3074.0,4372.0,31292.0,4870.0,675.8,4158.0,15576.0,133.637,84.43691678384252
puzzle_4,P4,compressed,1,6,0,504.0,29437.0,1135.0,3074.0,4209.0,33015.0,4713.0,651.35,4415.55,13620.0,62.837,85.72467060427078
puzzle_4,P4,compressed,2,14,0,504.0,27608.0,1330.0,2155.0,3485.0,30267.0,3989.0,542.75,4141.2,15960.0,99.86,86.82062972874748
puzzle_4,P4,compressed,3,20,0,504.0,30343.0,1343.0,3074.0,4417.0,33922.0,4921.0,682.55,4551.45,16116.0,187.399,85.49319026000826
puzzle_5,P5,compressed,1,4,0,481.0,30190.0,883.0,3074.0,3957.0,33745.0,4438.0,613.55,4528.5,10596.0,48.062,86.84842198844274
puzzle_5,P5,compressed,2,10,0,481.0,28187.0,1301.0,3074.0,4375.0,31742.0,4856.0,676.25,4228.05,15612.0,86.525,84.70165711045303
puzzle_5,P5,compressed,3,16,0,481.0,29417.0,1320.0,3074.0,4394.0,32972.0,4875.0,679.1,4412.55,15840.0,132.622,85.21472764770108
puzzle_5,P5,compressed,4,22,0,481.0,30099.0,1319.0,3074.0,4393.0,33654.0,4874.0,678.9499999999999,4514.849999999999,15828.0,132.813,85.51732334937897
puzzle_6,P6,compressed,1,5,0,479.0,26338.0,834.0,4243.0,5077.0,31060.0,5556.0,781.55,3950.7,10008.0,41.297,82.1120412105602
puzzle_6,P6,compressed,2,14,0,479.0,28808.0,1237.0,3074.0,4311.0,32361.0,4790.0,666.65,4321.2,14844.0,111.104,85.19823244028306
puzzle_6,P6,compressed,3,20,0,479.0,27059.0,1302.0,3074.0,4376.0,30612.0,4855.0,676.4,4058.85,15624.0,131.636,84.14020645498498
puzzle_7,P7,compressed,1,3,0,471.0,27138.0,1331.0,3074.0,4405.0,30683.0,4876.0,680.75,4070.7,15972.0,59.771,84.1084639702767
puzzle_7,P7,compressed,2,10,0,471.0,27598.0,1297.0,3074.0,4371.0,31143.0,4842.0,675.65,4139.7,15564.0,87.3,84.45236489740873
puzzle_7,P7,compressed,3,19,0,471.0,30376.0,1317.0,3074.0,4391.0,33922.0,4862.0,678.65,4556.4,15804.0,102.66,85.66711868403985
puzzle_8,P8,compressed,1,3,0,484.0,27586.0,1329.0,3074.0,4403.0,31144.0,4887.0,680.4499999999999,4137.9,15948.0,96.997,84.30837400462369
puzzle_8,P8,compressed,2,11,0,484.0,26409.0,1322.0,4181.0,5503.0,31074.0,5987.0,845.4499999999999,3961.35,15864.0,100.692,80.73308875587307
puzzle_8,P8,compressed,3,17,0,484.0,26471.0,1328.0,3074.0,4402.0,30029.0,4886.0,680.3,3970.6499999999996,15936.0,100.77,83.7290619068234
puzzle_8,P8,compressed,4,22,0,484.0,26517.0,1312.0,3074.0,4386.0,30075.0,4870.0,677.9,3977.5499999999997,15744.0,100.485,83.80714879467996
puzzle_9,P9,compressed,1,4,0,468.0,28908.0,1330.0,3074.0,4404.0,32450.0,4872.0,680.6,4336.2,15960.0,78.223,84.98613251155625
puzzle_9,P9,compressed,2,11,0,468.0,29917.0,1323.0,3074.0,4397.0,33459.0,4865.0,679.55,4487.55,15876.0,132.823,85.45981649182582
puzzle_9,P9,compressed,3,17,0,468.0,28702.0,1318.0,3074.0,4392.0,32244.0,4860.0,678.8,4305.3,15816.0,101.688,84.92742835876442
puzzle_9,P9,compressed,4,23,0,468.0,26440.0,1560.0,3126.0,4686.0,30035.0,5154.0,722.9,3966.0,18720.0,107.068,82.84001997669385
